NASDAQ Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,NASDAQ,Common Stock
ADTX,"Aditxt, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,Yes
ADUS,Addus HomeCare Corporation - Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
ADV,Advantage Solutions Inc.  - Class A Common Stock,Q,N,N,100,N,N,NASDAQ,Yes
ADVM,"Adverum Biotechnologies, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
ADVWW,Advantage Solutions Inc.  - Warrant,Q,N,N,100,N,N,NASDAQ,No
ADXN,Addex Therapeutics Ltd - American Depositary Shares,S,N,D,100,N,N,NASDAQ,No
AEAE,AltEnergy Acquisition Corp. - Class A Common Stock,G,N,N,100,N,N,NASDAQ,Yes
AEAEU,AltEnergy Acquisition Corp. - Unit,G,N,N,100,N,N,NASDAQ,No
AEAEW,AltEnergy Acquisition Corp. - Warrant,G,N,N,100,N,N,NASDAQ,No
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,S,N,D,100,N,N,NASDAQ,No
AEHR,Aehr Test Systems - Common Stock,S,N,N,100,N,N,NASDAQ,Yes
AEI,Alset Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,Yes
AEIS,"Advanced Energy Industries, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AEMD,"Aethlon Medical, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,Yes
AENT,Alliance Entertainment Holding Corporation - common stock,S,N,N,100,N,N,NASDAQ,Yes
AENTW,Alliance Entertainment Holding Corporation - Warrants,S,N,N,100,N,N,NASDAQ,No
AEP,"American Electric Power Company, Inc. - Common Stock",Q,N,N,100,N,N,NASDAQ,Yes
AEY,"ADDvantage Technologies Group, Inc. - Common Stock",S,N,D,100,N,N,NASDAQ,Yes
AEYE,"AudioEye, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
AEZS,Aeterna Zentaris Inc. - Common Stock,S,N,N,100,N,N,NASDAQ,Yes
AFAR,Aura FAT Projects Acquisition Corp - Class A Ordinary Shares,G,N,N,100,N,N,NASDAQ,No
AFARU,Aura FAT Projects Acquisition Corp - Unit,G,N,N,100,N,N,NASDAQ,No
AFARW,Aura FAT Projects Acquisition Corp - Warrant,G,N,N,100,N,N,NASDAQ,No
AFBI,"Affinity Bancshares, Inc. - Common Stock",S,N,N,100,N,N,NASDAQ,Yes
AFCG,"AFC Gamma, Inc. - Common Stock",G,N,N,100,N,N,NASDAQ,Yes
